date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend
2025-12-26,512720,计算机ETF,1,31,🚩假摔陷阱,-14.05,85.71,0.72,1.181,UP
2025-12-26,515750,科技50ETF,1,31,🚩假摔陷阱,-10.36,92.65,1.67,1.808,UP
2025-12-26,512980,传媒ETF,1,18,🚩假摔陷阱,-10.79,86.36,0.73,0.967,UP
2025-12-26,512170,医疗ETF,1,30,🚩假摔陷阱,-13.68,53.33,0.9,0.347,UP
2025-12-26,515400,大数据ETF,1,36,🚩假摔陷阱,-16.01,86.49,0.54,0.923,UP
2025-12-26,512690,酒ETF,1,253,正常,-15.64,44.44,-1.23,0.55,DOWN
2025-12-26,515220,煤炭ETF,3,15,正常,-13.99,13.64,-2.0,1.039,DOWN
2025-12-26,515120,创新药ETF,1,30,🚩假摔陷阱,-15.44,81.25,-0.5,0.641,UP
2025-12-26,512760,芯片ETF,1,36,🚩假摔陷阱,-10.66,91.86,2.76,1.618,UP
2025-12-26,512700,银行ETF南方,1,1,正常,-10.06,16.67,-0.66,1.6,DOWN
2025-12-26,515250,智能汽车ETF,1,39,🚩假摔陷阱,-11.43,83.54,3.32,1.147,UP
2025-12-26,515230,软件ETF,1,36,🚩假摔陷阱,-16.35,76.92,1.05,0.875,UP
2025-12-26,512290,生物医药ETF,1,40,🚩假摔陷阱,-15.82,79.31,0.34,1.027,UP
2025-12-26,512010,医药ETF,1,31,🚩假摔陷阱,-15.13,64.29,-0.06,0.387,UP
2025-12-26,515950,医药龙头ETF,1,30,🚩假摔陷阱,-13.79,66.67,0.28,0.944,UP
