证券代码,收盘价,RSI(14),网格状态,布林位置,操作建议,加码倍数,20日均振幅%,证券简称
501023,1.185,44.7,正常震荡,中轨下方(看弱),常规网格,1.0x,6.4,未知
563530,1.761,88.37,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,5.34,未知
563230,1.773,87.96,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,5.32,未知
159218,2.158,88.91,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,5.29,未知
512630,1.769,88.7,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,5.22,未知
159206,2.001,88.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,4.72,未知
561660,1.471,84.5,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,4.43,未知
563380,1.328,84.32,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.8,未知
563320,1.335,87.69,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.74,未知
159283,1.384,87.53,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.74,未知
501032,1.73,55.11,正常震荡,中轨下方(看弱),常规网格,1.0x,3.65,未知
513310,2.977,81.12,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.63,未知
159267,1.341,81.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.56,未知
512710,0.903,87.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.52,未知
159638,1.224,89.25,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.46,未知
159230,1.427,80.39,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.45,未知
159227,1.567,87.96,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.43,未知
159208,1.6,88.86,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.42,未知
159241,1.595,88.65,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.4,未知
