代码,简称,现价,情绪温度,当前环境,市场诊断,置信度,操作建议,人气值,磨洋工天数
511220,城投债ETF,10.206,58.0,顺风局(强),🚫虚假繁荣,★★☆☆☆,别追！小心被套,0.79,101
513030,德国ETF,1.947,73.9,顺风局(强),⚠️太烫了,★★☆☆☆,见好就收/分批离场,1.59,0
588000,科创50ETF,1.594,77.0,顺风局(强),⚠️太烫了,★★☆☆☆,见好就收/分批离场,1.4,0
512480,半导体ETF,1.646,77.1,顺风局(强),⚠️太烫了,★★☆☆☆,见好就收/分批离场,1.23,0
159531,中证2000ETF,1.53,82.8,顺风局(强),⚠️太烫了,★★☆☆☆,见好就收/分批离场,1.27,0
510500,中证500ETF,8.416,85.4,顺风局(强),⚠️太烫了,★★☆☆☆,见好就收/分批离场,1.41,0
512100,中证1000ETF,3.406,85.5,顺风局(强),⚠️太烫了,★★☆☆☆,见好就收/分批离场,1.55,0
513300,纳斯达克100ETF,2.32,44.0,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,0.94,15
159941,纳指ETF,1.412,45.3,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,0.92,15
520830,沙特ETF,0.91,48.0,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,1.47,16
512690,酒ETF,0.553,48.6,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,1.07,6
511010,国债ETF,139.962,49.1,顺风局(强),正常波动,★★★☆☆,该买买该卖卖,1.37,101
159985,豆粕ETF,1.974,53.2,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,1.23,20
560080,中药ETF,1.073,53.8,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,1.39,16
159920,恒生ETF,1.605,55.4,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,1.1,0
513520,日经ETF,1.867,57.2,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,1.1,0
512000,券商ETF,0.599,58.0,顺风局(强),正常波动,★★★☆☆,该买买该卖卖,1.69,0
513180,恒生科技ETF,0.772,58.2,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,1.41,0
159806,新能源车ETF,0.844,62.5,顺风局(强),正常波动,★★★☆☆,该买买该卖卖,1.31,0
159992,创新药ETF,0.897,64.3,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,1.58,0
510300,沪深300ETF,4.913,66.2,顺风局(强),正常波动,★★★☆☆,该买买该卖卖,1.27,0
518880,黄金ETF,9.777,66.4,顺风局(强),正常波动,★★★☆☆,该买买该卖卖,0.87,0
159915,创业板ETF,3.371,67.2,顺风局(强),正常波动,★★★☆☆,该买买该卖卖,1.3,0
159857,光伏ETF,0.88,67.5,逆风局(弱),正常波动,★★★☆☆,该买买该卖卖,1.49,0
510050,上证50ETF,3.218,69.7,顺风局(强),正常波动,★★★☆☆,该买买该卖卖,0.94,0
513500,标普500ETF,2.458,53.9,顺风局(强),🚀要起飞,★★★★☆,拿稳了等涨,0.8,34
