date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend,persist_days
2026-01-12,513560,香港科技ETF,1,🚩假摔陷阱,-14.8,69.35,3.7,1.393,UP,40
2026-01-12,159561,德国ETF,1,🚩假摔陷阱,-16.29,85.16,2.5,1.408,UP,160
2026-01-12,513880,日经225ETF,1,🚩假摔陷阱,-11.05,66.39,2.49,1.746,UP,25
2026-01-12,513890,恒生科技HKETF,1,🚩假摔陷阱,-11.97,65.98,3.79,1.162,UP,40
2026-01-12,159748,创新药ETF富国,1,🚩假摔陷阱,-10.55,82.26,5.92,0.822,UP,40
2026-01-12,513980,港股科技50ETF,1,🚩假摔陷阱,-14.46,68.96,4.12,0.757,UP,40
2026-01-12,159688,恒生互联网ETF,1,🚩假摔陷阱,-10.69,70.41,5.5,1.119,UP,40
2026-01-12,159529,标普消费ETF,1,🚩假摔陷阱,-28.84,50.98,-0.59,1.387,UP,215
2026-01-12,513070,港股消费ETF易方达,1,正常,-11.05,47.99,-0.7,1.32,UP,9
2026-01-12,513060,恒生医疗ETF,1,🚩假摔陷阱,-12.9,79.57,6.25,0.655,UP,39
2026-01-12,513820,港股红利ETF基金,1,正常,-11.34,32.28,-1.66,1.204,DOWN,9
2026-01-12,512820,银行ETF龙头,1,正常,-10.5,36.63,-0.83,1.424,DOWN,3
2026-01-12,513090,香港证券ETF,1,🚩假摔陷阱,-13.79,57.91,2.8,2.157,UP,50
2026-01-12,159605,中概互联ETF,1,🚩假摔陷阱,-11.15,66.46,3.51,1.14,UP,39
2026-01-12,159858,创新药ETF南方,1,🚩假摔陷阱,-10.78,82.72,4.58,0.712,UP,39
2026-01-12,159747,香港科技ETF,1,🚩假摔陷阱,-13.05,67.89,3.93,1.466,UP,40
2026-01-12,513860,港股通科技ETF,1,🚩假摔陷阱,-14.33,70.07,4.34,0.759,UP,40
2026-01-12,520520,恒生消费ETF华泰柏瑞,1,🚩假摔陷阱,-11.99,55.5,0.08,1.094,UP,24
2026-01-12,159568,港股互联网ETF,1,🚩假摔陷阱,-12.87,76.69,7.12,1.821,UP,48
2026-01-12,513770,港股互联网ETF,1,🚩假摔陷阱,-12.98,75.47,6.94,0.57,UP,48
2026-01-12,159303,恒生医疗ETF基金,1,🚩假摔陷阱,-12.2,81.03,6.66,1.828,UP,39
2026-01-12,560900,创新药企ETF,1,🚩假摔陷阱,-10.93,81.79,4.57,0.97,UP,39
2026-01-12,159751,港股科技ETF,1,🚩假摔陷阱,-14.24,69.76,4.05,1.09,UP,40
2026-01-12,508001,浙商沪杭甬REIT,1,正常,-24.81,48.36,-0.37,5.645,DOWN,77
2026-01-12,512690,酒ETF,1,🚩假摔陷阱,-15.18,62.62,0.7,0.553,UP,262
2026-01-12,508009,中金安徽交控REIT,1,🚩假摔陷阱,-16.59,57.25,0.55,6.823,UP,68
2026-01-12,159792,港股通互联网ETF,1,🚩假摔陷阱,-13.08,75.27,7.03,0.93,UP,48
2026-01-12,513180,恒生科技指数ETF,1,🚩假摔陷阱,-11.87,67.0,3.97,0.772,UP,40
2026-01-12,513230,港股消费ETF,1,🚩假摔陷阱,-10.58,53.58,-0.09,1.048,UP,9
2026-01-12,513280,恒生生物科技ETF,1,🚩假摔陷阱,-12.43,79.82,6.74,1.212,UP,39
2026-01-12,508000,华安张江产业园REIT,1,🚩假摔陷阱,-10.37,75.03,2.96,2.635,UP,35
2026-01-12,513200,港股通医药ETF,1,🚩假摔陷阱,-12.61,80.03,6.89,1.171,UP,39
