date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend
2026-01-13,513560,香港科技ETF,1,🚩假摔陷阱,-14.62,65.88,3.83,1.396,UP
2026-01-13,159561,德国ETF,1,正常,-15.28,0.0,3.53,1.425,UP
2026-01-13,513890,恒生科技HKETF,1,🚩假摔陷阱,-12.05,59.09,3.6,1.161,UP
2026-01-13,513980,港股科技50ETF,1,🚩假摔陷阱,-14.01,67.92,4.55,0.761,UP
2026-01-13,560680,消费ETF龙头,1,正常,-10.08,45.16,-0.31,0.874,DOWN
2026-01-13,159688,恒生互联网ETF,1,🚩假摔陷阱,-10.77,63.3,5.21,1.118,UP
2026-01-13,159529,标普消费ETF,1,🚩假摔陷阱,-28.01,81.58,0.49,1.403,UP
2026-01-13,513070,港股消费ETF易方达,1,正常,-11.73,48.72,-1.35,1.31,DOWN
2026-01-13,513060,恒生医疗ETF,1,正常,-11.57,0.0,7.55,0.665,UP
2026-01-13,513820,港股红利ETF基金,1,🚩假摔陷阱,-10.82,58.06,-0.91,1.211,UP
2026-01-13,513090,香港证券ETF,1,🚩假摔陷阱,-13.75,61.14,2.62,2.158,UP
2026-01-13,159605,中概互联ETF,1,🚩假摔陷阱,-11.46,55.29,3.08,1.136,UP
2026-01-13,512600,消费ETF嘉实,1,正常,-10.05,42.86,-0.4,0.68,DOWN
2026-01-13,159747,香港科技ETF,1,🚩假摔陷阱,-13.05,61.68,3.84,1.466,UP
2026-01-13,513860,港股通科技ETF,1,🚩假摔陷阱,-14.22,67.35,4.38,0.76,UP
2026-01-13,159568,港股互联网ETF,1,🚩假摔陷阱,-13.49,69.86,6.15,1.808,UP
2026-01-13,513770,港股互联网ETF,1,🚩假摔陷阱,-13.44,68.12,6.18,0.567,UP
2026-01-13,159303,恒生医疗ETF基金,1,正常,-11.1,0.0,7.68,1.851,UP
2026-01-13,159751,港股科技ETF,1,🚩假摔陷阱,-13.85,68.83,4.41,1.095,UP
2026-01-13,508001,浙商沪杭甬REIT,1,正常,-24.73,39.81,-0.15,5.651,DOWN
2026-01-13,512690,酒ETF,1,🚩假摔陷阱,-15.95,55.0,-0.18,0.548,UP
2026-01-13,508009,中金安徽交控REIT,1,🚩假摔陷阱,-16.03,81.82,1.33,6.869,UP
2026-01-13,159792,港股通互联网ETF,1,🚩假摔陷阱,-13.36,70.64,6.46,0.927,UP
2026-01-13,513180,恒生科技指数ETF,1,🚩假摔陷阱,-11.87,61.02,3.85,0.772,UP
2026-01-13,513230,港股消费ETF,1,🚩假摔陷阱,-11.43,55.56,-0.97,1.038,UP
2026-01-13,513280,恒生生物科技ETF,1,正常,-11.05,0.0,8.08,1.231,UP
2026-01-13,515220,煤炭ETF,1,🚩假摔陷阱,-10.51,79.75,2.55,1.081,UP
2026-01-13,513200,港股通医药ETF,1,正常,-11.49,0.0,7.94,1.186,UP
2026-01-13,159740,恒生科技ETF,1,🚩假摔陷阱,-11.77,62.07,3.85,0.757,UP
2026-01-13,515120,创新药ETF,1,正常,-10.29,0.0,5.39,0.68,UP
2026-01-13,513160,港股科技30ETF,1,🚩假摔陷阱,-12.86,57.76,4.46,1.267,UP
2026-01-13,159776,港股通医药ETF,1,正常,-11.21,0.0,7.82,1.33,UP
2026-01-13,520500,恒生创新药ETF,1,🚩假摔陷阱,-19.38,88.79,4.8,1.71,UP
2026-01-13,508066,华泰江苏交控REIT,1,正常,-20.01,45.41,-0.36,5.648,DOWN
2026-01-13,159928,消费ETF,1,正常,-10.34,44.12,-0.49,0.798,DOWN
2026-01-13,513220,中概互联ETF,1,🚩假摔陷阱,-11.17,59.29,3.66,1.328,UP
2026-01-13,513020,港股科技ETF,1,🚩假摔陷阱,-14.28,69.23,4.46,1.183,UP
2026-01-13,159506,港股通医疗ETF富国,1,正常,-13.04,0.0,7.45,1.494,UP
2026-01-13,513120,港股创新药ETF,1,🚩假摔陷阱,-13.13,95.12,8.29,1.376,UP
2026-01-13,513350,标普油气ETF,1,正常,-23.34,42.86,0.9,0.949,DOWN
2026-01-13,520830,沙特ETF,1,🚩假摔陷阱,-29.18,73.91,2.22,0.927,UP
2026-01-13,159636,港股通科技30ETF,1,🚩假摔陷阱,-13.77,62.0,4.04,0.695,UP
2026-01-13,513330,恒生互联网ETF,1,🚩假摔陷阱,-10.5,67.39,5.27,0.554,UP
2026-01-13,508056,中金普洛斯REIT,1,🚩假摔陷阱,-13.1,52.48,0.82,3.251,UP
2026-01-13,513590,香港消费ETF,1,🚩假摔陷阱,-12.19,53.12,-1.07,0.915,UP
2026-01-13,159312,恒生ETF港股通,1,🚩假摔陷阱,-13.27,61.97,0.02,1.268,UP
2026-01-13,159992,创新药ETF,1,正常,-10.01,0.0,5.52,0.908,UP
2026-01-13,159707,地产ETF,1,🚩假摔陷阱,-13.77,51.11,0.62,0.626,UP
2026-01-13,159699,恒生消费ETF,1,🚩假摔陷阱,-12.4,74.19,0.12,1.017,UP
2026-01-13,512700,银行ETF南方,1,正常,-10.23,39.22,-0.33,1.597,DOWN
2026-01-13,159570,港股通创新药ETF,1,🚩假摔陷阱,-16.88,88.29,5.45,1.728,UP
2026-01-13,159567,港股创新药ETF,1,🚩假摔陷阱,-18.65,86.21,5.15,0.833,UP
2026-01-13,513010,恒生科技ETF易方达,1,🚩假摔陷阱,-11.93,61.67,3.94,0.79,UP
2026-01-13,517900,银行AH优选ETF,1,正常,-11.38,20.78,-0.26,1.487,DOWN
2026-01-13,159735,港股消费ETF,1,🚩假摔陷阱,-12.72,54.55,-1.06,0.796,UP
2026-01-13,159822,新经济ETF,1,🚩假摔陷阱,-11.65,64.0,3.24,0.751,UP
2026-01-13,513780,港股创新药50ETF,1,🚩假摔陷阱,-12.79,95.95,7.89,1.759,UP
