日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-22,99.92,99.947,99.955,99.92,122579,1225156368.0,0.04,-0.01,-0.008,5.07
2025-01-23,99.942,99.975,99.987,99.942,181916,1818826660.0,0.05,0.03,0.028,7.53
2025-01-24,99.947,99.976,99.978,99.947,217659,2176074491.0,0.03,0.0,0.001,9.01
2025-01-27,99.976,100.045,100.045,99.976,199069,1990939139.0,0.07,0.07,0.069,8.24
2025-02-05,100.009,100.033,100.033,99.993,342650,3427405501.0,0.04,-0.01,-0.012,14.18
2025-02-06,100.034,100.065,100.068,100.034,197266,1973925575.0,0.03,0.03,0.032,8.16
2025-02-07,100.094,100.132,100.132,100.094,348708,3491374756.0,0.04,0.07,0.067,14.43
2025-02-10,100.132,100.163,100.163,100.132,180972,1812631519.0,0.03,0.03,0.031,7.49
2025-02-11,100.189,100.206,100.21,100.186,275400,2759512837.0,0.02,0.04,0.043,11.4
2025-02-12,100.23,100.201,100.23,100.199,151306,1516125441.0,0.03,0.0,-0.005,6.26
2025-02-13,100.17,100.18,100.21,100.166,324063,3246497176.0,0.04,-0.02,-0.021,13.41
2025-02-14,100.171,100.152,100.177,100.149,357991,3585954042.0,0.03,-0.03,-0.028,14.82
2025-02-17,100.152,100.125,100.152,100.125,247588,2479043766.0,0.03,-0.03,-0.027,10.25
2025-02-18,100.075,100.043,100.075,100.004,157192,1572571475.0,0.07,-0.08,-0.082,6.51
2025-02-19,100.023,100.018,100.023,99.97,215608,2155624319.0,0.05,-0.02,-0.025,8.92
2025-02-20,99.995,99.906,99.995,99.906,127197,1271590650.0,0.09,-0.11,-0.112,5.26
2025-02-21,99.898,99.761,99.898,99.745,150232,1499526456.0,0.15,-0.15,-0.145,6.22
2025-02-24,99.731,99.644,99.739,99.588,153316,1528886180.0,0.15,-0.12,-0.117,6.34
2025-02-25,99.694,99.531,99.779,99.503,12645,125911834.0,0.28,-0.11,-0.113,0.52
2025-02-26,99.53,99.577,99.649,99.474,229688,2287188161.0,0.18,0.05,0.046,9.51
2025-02-27,99.479,99.457,99.545,99.422,244373,2431656873.0,0.12,-0.12,-0.12,10.11
2025-02-28,99.49,99.52,99.539,99.49,89238,887910951.0,0.05,0.06,0.063,3.69
2025-03-03,99.421,99.532,99.535,99.421,191580,1905497683.0,0.11,0.01,0.012,7.93
2025-03-04,99.527,99.51,99.527,99.461,218082,2169714373.0,0.07,-0.02,-0.022,9.03
2025-03-05,99.45,99.47,99.479,99.437,134523,1338127319.0,0.04,-0.04,-0.04,5.57
2025-03-06,99.459,99.44,99.459,99.437,209893,2087283288.0,0.02,-0.03,-0.03,8.69
2025-03-07,99.348,99.271,99.35,99.238,208937,2074491186.0,0.11,-0.17,-0.169,8.65
2025-03-10,99.258,99.106,99.258,99.039,214054,2121171646.0,0.22,-0.17,-0.165,8.86
2025-03-11,99.102,99.006,99.102,98.941,236528,2342927155.0,0.16,-0.1,-0.1,9.79
2025-03-12,98.942,99.042,99.042,98.942,137826,1363930728.0,0.1,0.04,0.036,5.7
2025-03-13,98.918,99.102,99.114,98.909,321421,3183414021.0,0.21,0.06,0.06,13.3
2025-03-14,99.044,99.061,99.126,99.044,220494,2184143032.0,0.08,-0.04,-0.041,9.12
2025-03-17,99.005,98.949,99.005,98.949,190565,1885844710.0,0.06,-0.11,-0.112,7.89
2025-03-18,98.957,99.002,99.002,98.957,149292,1477763394.0,0.05,0.05,0.053,6.18
2025-03-19,98.96,98.968,98.979,98.951,222999,2206888451.0,0.03,-0.03,-0.034,9.23
2025-03-20,99.018,99.13,99.133,99.018,251490,2492279115.0,0.12,0.16,0.162,10.41
2025-03-21,99.13,99.204,99.223,99.13,213404,2116981497.0,0.09,0.07,0.074,8.83
2025-03-24,99.227,99.288,99.291,99.227,294843,2926841969.0,0.06,0.08,0.084,12.2
2025-03-25,99.298,99.46,99.486,99.298,297195,2955035249.0,0.19,0.17,0.172,12.3
2025-03-26,99.437,99.532,99.532,99.425,385580,3835648753.0,0.11,0.07,0.072,15.96
2025-03-27,99.486,99.57,99.575,99.461,348778,3471911948.0,0.11,0.04,0.038,14.43
2025-03-28,99.553,99.609,99.65,99.553,360362,3589387430.0,0.1,0.04,0.039,14.91
2025-03-31,99.574,99.608,99.608,99.559,276446,2753198001.0,0.05,0.0,-0.001,11.44
2025-04-01,99.627,99.624,99.645,99.616,536442,5344631333.0,0.03,0.02,0.016,22.2
2025-04-02,99.624,99.723,99.741,99.618,234608,2337980013.0,0.12,0.1,0.099,9.71
2025-04-03,99.787,100.0,100.044,99.787,137533,1374913552.0,0.26,0.28,0.277,5.69
2025-04-07,100.174,100.26,100.273,100.174,125344,1256522350.0,0.1,0.26,0.26,5.19
2025-04-08,100.231,100.156,100.231,100.123,185444,1857645284.0,0.11,-0.1,-0.104,7.67
2025-04-09,100.161,100.21,100.229,100.161,267313,2678845014.0,0.07,0.05,0.054,11.06
2025-04-10,100.148,100.175,100.188,100.064,249531,2497194968.0,0.12,-0.03,-0.035,10.33
2025-04-11,100.19,100.158,100.2,100.106,393655,3944148848.0,0.09,-0.02,-0.017,16.29
2025-04-14,100.087,100.128,100.129,100.085,240222,2404514024.0,0.04,-0.03,-0.03,9.94
2025-04-15,100.118,100.159,100.168,100.118,450061,4507643941.0,0.05,0.03,0.031,18.63
2025-04-16,100.17,100.179,100.189,100.153,379916,3806048654.0,0.04,0.02,0.02,15.72
2025-04-17,100.144,100.096,100.156,100.093,717025,7181252838.0,0.06,-0.08,-0.083,29.67
2025-04-18,100.096,100.071,100.096,100.061,353442,3537034483.0,0.03,-0.02,-0.025,14.63
2025-04-21,100.066,100.045,100.066,100.029,472647,4728635513.0,0.04,-0.03,-0.026,19.56
2025-04-22,100.0,100.026,100.04,99.995,225723,2257883608.0,0.04,-0.02,-0.019,9.34
2025-04-23,99.979,99.94,99.979,99.906,195575,1954072669.0,0.07,-0.09,-0.086,8.09
2025-04-24,99.905,99.9,99.953,99.9,490482,4902264772.0,0.05,-0.04,-0.04,20.3
2025-04-25,99.89,99.884,99.919,99.857,275590,2752628534.0,0.06,-0.02,-0.016,11.4
2025-04-28,99.884,99.955,99.963,99.87,206669,2064911356.0,0.09,0.07,0.071,8.55
2025-04-29,99.956,100.046,100.05,99.956,521013,5210373350.0,0.09,0.09,0.091,21.56
2025-04-30,100.049,100.122,100.133,100.023,226209,2264617814.0,0.11,0.08,0.076,9.36
2025-05-06,100.051,100.048,100.15,100.033,307557,3077511125.0,0.12,-0.07,-0.074,12.73
2025-05-07,100.057,100.09,100.12,100.054,523514,5238868042.0,0.07,0.04,0.042,21.66
2025-05-08,100.06,100.217,100.23,100.06,203602,2039417803.0,0.17,0.13,0.127,8.43
2025-05-09,100.19,100.243,100.272,100.19,258325,2589269593.0,0.08,0.03,0.026,10.69
2025-05-12,100.201,100.239,100.242,100.181,208461,2089511368.0,0.06,0.0,-0.004,8.63
2025-05-13,100.23,100.256,100.274,100.225,346291,3471781709.0,0.05,0.02,0.017,14.33
2025-05-14,100.252,100.221,100.269,100.209,221448,2219790296.0,0.06,-0.03,-0.035,9.16
2025-05-15,100.25,100.24,100.266,100.23,252755,2533859935.0,0.04,0.02,0.019,10.46
2025-05-16,100.2,100.239,100.256,100.185,445064,4459681441.0,0.07,0.0,-0.001,18.42
2025-05-19,100.195,100.249,100.258,100.19,290232,2908966814.0,0.07,0.01,0.01,12.01
2025-05-20,100.295,100.3,100.3,100.259,533319,5347701563.0,0.04,0.05,0.051,22.07
2025-05-21,100.3,100.345,100.357,100.3,276821,2777168438.0,0.06,0.04,0.045,11.46
2025-05-22,100.398,100.394,100.425,100.388,636446,6390633113.0,0.04,0.05,0.049,26.34
2025-05-23,100.394,100.441,100.467,100.394,282784,2840392233.0,0.07,0.05,0.047,11.7
2025-05-26,100.439,100.491,100.508,100.439,371915,3736863698.0,0.07,0.05,0.05,15.39
2025-05-27,100.491,100.543,100.556,100.461,452465,4548220907.0,0.09,0.05,0.052,18.72
2025-05-28,100.51,100.51,100.517,100.499,698447,7020080051.0,0.02,-0.03,-0.033,28.9
2025-05-29,100.545,100.45,100.545,100.45,565176,5679860656.0,0.09,-0.06,-0.06,23.39
2025-05-30,100.55,100.491,100.55,100.471,564795,5675764584.0,0.08,0.04,0.041,23.37
2025-06-03,100.545,100.471,100.545,100.457,928623,9331443956.0,0.09,-0.02,-0.02,38.43
2025-06-04,100.5,100.514,100.523,100.491,817310,8213419300.0,0.03,0.04,0.043,33.82
2025-06-05,100.501,100.539,100.547,100.501,925517,9303450121.0,0.05,0.02,0.025,38.3
2025-06-06,100.599,100.616,100.627,100.585,944561,9501405397.0,0.04,0.08,0.077,39.09
2025-06-09,100.583,100.615,100.642,100.583,1050532,10569982397.0,0.06,0.0,-0.001,43.47
2025-06-10,100.595,100.663,100.67,100.595,845906,8512219442.0,0.07,0.05,0.048,35.01
2025-06-11,100.668,100.671,100.68,100.645,1546533,15568343583.0,0.03,0.01,0.008,64.0
2025-06-12,100.653,100.713,100.78,100.653,1190909,11992794635.0,0.13,0.04,0.042,49.28
2025-06-13,100.714,100.744,100.771,100.714,1432087,14427624413.0,0.06,0.03,0.031,59.27
2025-06-16,100.732,100.786,100.795,100.732,1328161,13384562029.0,0.06,0.04,0.042,54.96
2025-06-17,100.766,100.85,100.851,100.766,1021341,10297120613.0,0.08,0.06,0.064,42.27
2025-06-18,100.83,100.851,100.882,100.803,1199028,12091907715.0,0.08,0.0,0.001,49.62
2025-06-19,100.856,100.922,100.935,100.856,558230,5633287682.0,0.08,0.07,0.071,23.1
2025-06-20,100.979,101.016,101.05,100.892,688829,6956457046.0,0.16,0.09,0.094,28.51
2025-06-23,100.998,101.035,101.042,100.998,998033,10083355387.0,0.04,0.02,0.019,41.3
2025-06-24,101.029,101.037,101.079,101.009,1197339,12101635238.0,0.07,0.0,0.002,49.55
2025-06-25,101.083,101.018,101.084,100.952,936295,9462270647.0,0.13,-0.02,-0.019,38.75
2025-06-26,101.017,100.954,101.018,100.93,1477783,14917469141.0,0.09,-0.06,-0.064,61.16
2025-06-27,100.96,101.004,101.011,100.955,1455652,14696174601.0,0.06,0.05,0.05,60.24
2025-06-30,101.03,100.964,101.058,100.951,1646451,16623527559.0,0.11,-0.04,-0.04,68.14
2025-07-01,100.934,100.932,100.999,100.88,1289771,13018984546.0,0.12,-0.03,-0.032,53.38
2025-07-02,100.932,101.015,101.026,100.932,1077496,10880896859.0,0.09,0.08,0.083,44.59
2025-07-03,101.052,101.09,101.1,101.052,1081875,10936711919.0,0.05,0.07,0.075,44.77
2025-07-04,101.1,101.209,101.209,101.1,1166024,11800300573.0,0.11,0.12,0.119,48.25
2025-07-07,101.209,101.22,101.28,101.209,1133657,11478000673.0,0.07,0.01,0.011,46.91
2025-07-08,101.244,101.197,101.278,101.161,628532,6363606856.0,0.12,-0.02,-0.023,26.01
2025-07-09,101.23,101.167,101.23,101.146,782394,7915195144.0,0.08,-0.03,-0.03,32.38
2025-07-10,101.19,101.09,101.203,101.053,390012,3942805514.0,0.15,-0.08,-0.077,16.14
2025-07-11,101.103,101.085,101.135,101.018,815654,8242304864.0,0.12,0.0,-0.005,33.75
2025-07-14,101.134,100.98,101.134,100.967,489459,4943243455.0,0.17,-0.1,-0.105,20.26
2025-07-15,101.03,101.132,101.147,101.03,1372325,13878607557.0,0.12,0.15,0.152,56.79
2025-07-16,101.132,101.157,101.166,101.126,936147,9469844645.0,0.04,0.02,0.025,38.74
2025-07-17,101.231,101.218,101.263,101.175,529965,5363811711.0,0.09,0.06,0.061,21.93
2025-07-18,101.24,101.293,101.31,101.219,1128214,11424328063.0,0.09,0.07,0.075,46.69
2025-07-21,101.274,101.188,101.274,101.101,1222235,12368311407.0,0.17,-0.1,-0.105,50.58
2025-07-22,101.188,101.091,101.25,101.06,1218577,12333252958.0,0.19,-0.1,-0.097,50.43
2025-07-23,101.044,101.05,101.05,100.807,269280,2717318414.0,0.24,-0.04,-0.041,11.14
2025-07-24,100.95,100.773,101.045,100.761,427363,4310195095.0,0.28,-0.27,-0.277,17.69
2025-07-25,100.714,100.77,100.775,100.65,1418425,14293098814.0,0.12,0.0,-0.003,58.7
2025-07-28,100.828,100.817,100.85,100.766,950330,9576834228.0,0.08,0.05,0.047,39.33
2025-07-29,100.76,100.661,100.76,100.66,1088021,10959239982.0,0.1,-0.15,-0.156,45.03
2025-07-30,100.664,100.671,100.71,100.47,128753,1295311976.0,0.24,0.01,0.01,5.33
2025-07-31,100.72,100.871,100.904,100.72,498015,5023993106.0,0.18,0.2,0.2,20.61
2025-08-01,100.89,100.9,100.992,100.781,1702443,17165934115.0,0.21,0.03,0.029,70.45
2025-08-04,100.987,100.896,101.07,100.769,667004,6738889035.0,0.3,0.0,-0.004,27.6
2025-08-05,100.86,100.941,100.943,100.819,1676341,16905300780.0,0.12,0.04,0.045,69.37
2025-08-06,100.986,101.01,101.011,100.898,896627,9051226369.0,0.11,0.07,0.069,37.11
2025-08-07,101.04,101.055,101.1,101.008,205418,2075576734.0,0.09,0.04,0.045,8.5
2025-08-08,101.083,101.045,101.091,101.016,590710,5968695349.0,0.07,-0.01,-0.01,24.45
2025-08-11,101.006,100.914,101.013,100.884,632233,6381535949.0,0.13,-0.13,-0.131,26.16
2025-08-12,100.86,100.831,100.913,100.793,503260,5074708126.0,0.12,-0.08,-0.083,20.83
