代码,买入日期,买入价,T+7收益%,T+14收益%,T+20收益%,T+60收益%,状态,入场日期,7天后收益%,14天后收益%,20天后收益%,60天后收益%
512000,,0.599,,,,,持有中,2026-01-12,,,,
511220,,10.206,,,,,持有中,2026-01-12,,,,
159915,,3.371,,,,,持有中,2026-01-12,,,,
510300,,4.913,,,,,持有中,2026-01-12,,,,
512690,,0.553,,,,,持有中,2026-01-12,,,,
511010,,139.962,,,,,持有中,2026-01-12,,,,
513180,,0.772,,,,,持有中,2026-01-12,,,,
560080,,1.073,,,,,持有中,2026-01-12,,,,
520830,,0.91,,,,,持有中,2026-01-12,,,,
159992,,0.897,,,,,持有中,2026-01-12,,,,
159941,,1.412,,,,,持有中,2026-01-12,,,,
159857,,0.88,,,,,持有中,2026-01-12,,,,
513300,,2.32,,,,,持有中,2026-01-12,,,,
513520,,1.867,,,,,持有中,2026-01-12,,,,
159985,,1.974,,,,,持有中,2026-01-12,,,,
518880,,9.777,,,,,持有中,2026-01-12,,,,
513500,,2.458,,,,,持有中,2026-01-12,,,,
159806,,0.844,,,,,持有中,2026-01-12,,,,
159920,,1.605,,,,,持有中,2026-01-12,,,,
